id,Headline,Date,Year,Newspaper,sentiment_label,sentiment_score
93,’Een film als een koortsdroom’,2017-09-07,2017,De Telegraaf,NEU,-0.16195556700877858
94,’Gespierder’ voor nieuw alter ego,2017-10-19,2017,De Telegraaf,NEG,-0.427052359889507
95,’Hoe konden zij als enigen ziek worden en sterven?’,2017-10-17,2017,De Telegraaf,NEG,-0.6319409872365144
96,’Ik ben blij dat euthanasie bestaat’,2017-08-26,2017,De Telegraaf,NEG,-0.8879608944061791
97,’Ik deed dit voor Sharleyne’,2017-10-18,2017,De Telegraaf,NEG,-0.5181591523291771
98,’Ik zou nooit meer meedoen’,2017-10-14,2017,De Telegraaf,NEG,-0.8561797799351606
99,’Kunstroof romantisch? Onzin’,2017-10-13,2017,De Telegraaf,NEG,-0.7448830923655075
100,’Machine in de misdaad’,2017-09-30,2017,De Telegraaf,NEG,-0.84704842565048
101,’Malta is een maffiastaat’,2017-10-18,2017,De Telegraaf,NEG,-0.7083423502974756
102,’Melden van drugszaken’,2017-10-11,2017,De Telegraaf,POS,0.69445740211944
103,’Moord op maffiabaas’,2017-10-16,2017,De Telegraaf,NEG,-0.8484532660909349
104,’Niet vijandig zijn tegen toerist’,2017-10-12,2017,De Telegraaf,NEU,0.1863321663487304
105,’P. was op dag verdwijning Anne op park’,2017-10-12,2017,De Telegraaf,NEG,-0.6513516039755513
106,’Politieke islam is hier niet welkom’,2017-10-24,2017,De Telegraaf,NEG,-0.40402500897802407
107,’Sommigen hebben hun eigen sleutel’,2017-10-10,2017,De Telegraaf,NEG,-0.8156497727280954
108,’Stop het drugstoerisme’,2017-09-22,2017,De Telegraaf,NEG,-0.2811597997105885
109,’Stop verkoop magic truffels’,2017-09-22,2017,De Telegraaf,NEG,-0.6636566294123136
110,’Vader voor huis gedood’,2017-08-23,2017,De Telegraaf,NEG,-0.9657887438106477
111,’Via Spanje’ naar Europa,2017-08-26,2017,De Telegraaf,NEU,-0.07164400588420253
112,’Volstrekte willekeur’,2017-10-19,2017,De Telegraaf,NEG,-0.967557380056637
113,’Wie vermoordde mijn dochter?’,2017-10-20,2017,De Telegraaf,NEG,-0.8041413508678656
114,"’Ze is mijn held, een topmoeder’",2017-08-22,2017,De Telegraaf,NEG,-0.9519823783512698
115,’Zij hebben geen idee’,2017-08-29,2017,De Telegraaf,NEG,-0.9065081514136691
116,’Zoon van Duterte verdient aan drugs’,2017-09-09,2017,De Telegraaf,NEG,-0.8641081500247099
117,1,2017-09-08,2017,De Telegraaf,NEG,-0.6424850397383043
118,10,2020-06-30,2020,De Telegraaf,NEG,-0.8598404134214028
119,11. Film,2017-08-25,2017,de Volkskrant,POS,0.5798954972297704
120,11.652 vuurwapendoden dit jaar,2017-10-03,2017,de Volkskrant,NEG,-0.6092356311602878
121,11,2020-05-27,2020,De Telegraaf,NEG,-0.8789967735779459
122,200 kilo coke in partij cacao,2017-10-12,2017,AD/Algemeen Dagblad,NEG,-0.870144697242491
123,2000,2017-10-09,2017,de Volkskrant,NEG,-0.4499388388071122
124,2020 kilo,2020-06-08,2020,de Volkskrant,NEG,-0.5870538735496923
125,270.000 euro in leegstaand pand,2020-05-29,2020,De Telegraaf,NEG,-0.8162377518111801
126,3,2020-07-17,2020,De Telegraaf,NEG,-0.8410387495847839
127,3,2020-07-28,2020,De Telegraaf,NEG,-0.8966094608149167
128,30.000 euro,2017-08-22,2017,de Volkskrant,NEG,-0.40376985750793337
129,3M: binnen jaar twee miljard mondmaskers; Coronacrisis,2020-05-27,2020,De Telegraaf,POS,0.5970961482858294
130,5 x Colombia,2017-09-09,2017,AD/Algemeen Dagblad,POS,0.6990419306145078
131,600,2017-08-31,2017,De Telegraaf,NEG,-0.8414645063982334
132,900 kilo cocaïne onderschept,2020-07-11,2020,AD/Algemeen Dagblad,NEG,-0.7928375453760107
133,900,2020-07-15,2020,De Telegraaf,NEG,-0.9276437824439141
134,95 flessen lachgas in woning Breda,2020-07-24,2020,AD/Algemeen Dagblad,NEG,-0.8600757199967641
135,A2-drama na speed en marihuana; Dolle gebruiker ramt gezin en veroorzaakt groot leed,2020-07-18,2020,De Telegraaf,NEG,-0.8380901798439707
136,Aan het eind zet Rushdie zijn Joker in,2017-08-26,2017,de Volkskrant,POS,0.37346788757122634
137,Aanhouding bij uitlaten,2017-09-26,2017,De Telegraaf,NEG,-0.9420799471655684
138,Aanhoudingen leiden tot straatgeweld,2020-06-22,2020,de Volkskrant,NEG,-0.8398962105209764
139,Aanpak drugssmokkel,2017-09-09,2017,AD/Algemeen Dagblad,NEU,-0.17838021578519914
140,Aanschaf lachgas wordt verboden,2020-06-12,2020,De Telegraaf,NEG,-0.5714345503001472
141,Aanslagen vormen lijn van noord naar zuid door Europa,2017-08-23,2017,AD/Algemeen Dagblad,NEU,0.01979597741857278
142,aanvullingen & verbeteringen,2017-10-11,2017,de Volkskrant,NEG,-0.5599272020401719
143,Aardig in de aandacht,2017-10-11,2017,De Telegraaf,POS,0.8893261488162499
144,ADHD-meds in het verkeer,2017-10-13,2017,AD/Algemeen Dagblad,POS,0.9905691054425193
145,Advocaat: onderzoek naar dubbele moord zit vol fouten,2017-10-11,2017,AD/Algemeen Dagblad,NEG,-0.833801378800796
146,Afpakken van criminelen,2020-07-04,2020,De Telegraaf,NEG,-0.8536260244439204
147,AGENDA,2017-10-24,2017,De Telegraaf,NEG,-0.2150005130486983
148,Agent rotte appel in eigen korps; Geheime berichten nekken 'corrupte' Mehmet K.,2020-05-27,2020,De Telegraaf,NEG,-0.8748105222147324
149,Alan Parker ( 1944-2020 ) Regisseur van Midnight Express en Mississippi Burning groeide uit tot Brits filmgeweten,2020-08-03,2020,de Volkskrant,NEG,-0.5075538656655916
150,Alarm Barcelona pas tien uur na explosie,2017-08-24,2017,De Telegraaf,NEG,-0.7702639744258206
151,Alarm over drugsrijder; Aantal doorgesnoven automobilisten groeit,2020-07-18,2020,De Telegraaf,NEG,-0.7233080942983622
152,Algoritme,2017-09-20,2017,De Telegraaf,NEG,-0.830663481978697
153,Alle feiten rond Otto moeten boven tafel,2017-08-31,2017,De Telegraaf,NEG,-0.9836748286629129
154,Alles lag klaar voor gebruik in geluiddichte martelkamer,2020-07-08,2020,AD/Algemeen Dagblad,NEG,-0.7250917802380777
155,Alles onder controle,2020-06-20,2020,De Telegraaf,NEG,-0.5966285327697262
156,Alles wat Dan Eet,2017-10-11,2017,de Volkskrant,NEG,-0.745680244594491
157,Alles wijst naar moeder bij dood Sharleyne (8),2017-10-18,2017,AD/Algemeen Dagblad,NEG,-0.7461335324124236
158,"Alles wijst op moord, Madsen!",2017-08-24,2017,AD/Algemeen Dagblad,NEG,-0.6668264443416372
159,Als baby's morfine krijgen voor de pijn,2017-10-14,2017,de Volkskrant,NEG,-0.8110591154808142
160,Alsnog een veroordeling voor (ex-)militairen Schaarsbergen,2020-07-10,2020,de Volkskrant,NEG,-0.6707779139631385
161,"Alwéér een liquidatie, waarschijnlijk om drugs",2017-09-23,2017,De Telegraaf,NEG,-0.6842671303595765
162,American Made (****),2017-08-31,2017,de Volkskrant,POS,0.7475104044906615
163,Amerika fikt maar er is nog hoop,2020-06-02,2020,AD/Algemeen Dagblad,NEG,-0.7125457462874732
164,"Amerika gaat eraan, waarschuwt Trump",2020-07-25,2020,de Volkskrant,NEG,-0.8247456749190648
165,"Amerika, dus wij ook",2020-07-22,2020,de Volkskrant,NEG,-0.8970266705928265
166,Amerikaans concept anoniem solliciteren waait over,2017-10-18,2017,De Telegraaf,POS,0.9709504505248809
167,Amsterdamsestraatweg stukje veiliger,2017-09-22,2017,De Telegraaf,POS,0.9048043171810433
168,Aparte saffraan-thee,2017-10-07,2017,De Telegraaf,NEG,-0.21506517519318466
169,Aparte vergunning voor vechtsportgala's,2020-06-04,2020,De Telegraaf,NEG,-0.9353567504757023
170,Apothekers eisen een oplossing voor 'drugsuitslag' speekseltest,2017-08-31,2017,AD/Algemeen Dagblad,POS,0.3748789701407263
171,Arrestaties in drugsonderzoek,2020-07-30,2020,AD/Algemeen Dagblad,NEG,-0.5268352807762978
172,Arrestaties na brand 'drugslab',2020-06-17,2020,De Telegraaf,NEG,-0.9136807705685355
173,Aso,2017-08-23,2017,De Telegraaf,NEG,-0.973067327115298
174,Avonturen in Bijlmerbajes,2017-09-21,2017,De Telegraaf,NEG,-0.6192634991394633
175,Baas boven bas,2017-08-29,2017,de Volkskrant,NEU,0.10738428755982657
176,Balanceren op 't randje; Opvolger aso-azc worstelt met in gareel houden van asiel-raddraaiers,2020-07-20,2020,De Telegraaf,NEG,-0.6110805535388207
177,Ballonnen,2020-08-08,2020,de Volkskrant,POS,0.9250960485208007
178,Banken komen met een witwas- waakhond,2020-07-09,2020,de Volkskrant,NEU,-0.16874921679174107
179,Beest op vrije voeten,2017-10-10,2017,De Telegraaf,NEG,-0.9417455401560656
180,Behalve de 'vrije jongens' lacht bijna niemand meer om lachgas,2020-08-01,2020,AD/Algemeen Dagblad,NEG,-0.8558542633153561
181,Belangrijk maffialid in ons land opgepakt,2017-09-22,2017,De Telegraaf,NEG,-0.4868063415868201
182,Belastingfraude nekt coffeeshop,2017-09-28,2017,De Telegraaf,NEG,-0.8126485865320812
183,Beleggen in trackers,2020-06-17,2020,AD/Algemeen Dagblad,NEG,-0.41629013154019756
184,Beleggers in afwachting van rentebesluit in VS; Beurzen,2020-07-29,2020,De Telegraaf,NEG,-0.6573348116326663
185,Belg (77) spil in megacokezaak,2020-06-19,2020,De Telegraaf,NEG,-0.7171853665157524
186,Berlusconi verlaat zijn Romeinse paleis,2020-07-01,2020,AD/Algemeen Dagblad,NEG,-0.6585318153292083
187,Beschieting pand 'een grote schok'; Advocaat Jan-Hein Kuijpers: geen recente bedreigingen,2020-08-08,2020,De Telegraaf,NEG,-0.7912489634740046
188,Beste maatjes,2017-09-25,2017,de Volkskrant,NEG,-0.5743883797075012
189,Beter? Jeroen slikt méér!; Tygo duikt opnieuw in de wereld van de psychiatrie,2020-07-09,2020,De Telegraaf,NEG,-0.9002550978352108
190,Beter/leven,2017-09-02,2017,de Volkskrant,POS,0.5084464140488951
191,Bewakers,2020-05-28,2020,de Volkskrant,NEG,-0.8703774880324459
192,Bewogen beelden,2020-06-18,2020,de Volkskrant,POS,0.550351385302388
193,Bij Defensie zit het probleem in de top,2020-06-11,2020,de Volkskrant,NEG,-0.8084277413969849
194,Bijrolspecialist,2017-08-31,2017,de Volkskrant,NEG,-0.2969836572173136
195,Biografie DJ Jean,2017-09-22,2017,AD/Algemeen Dagblad,NEG,-0.5901347735481977
196,Boefjes zien brood in koffie,2017-10-21,2017,De Telegraaf,NEU,0.02183819894265471
197,"Bon biní­ buitenlanders, maar laat dat virus thuis",2020-08-08,2020,de Volkskrant,NEG,-0.8940395247460093
198,Boodschapper,2017-09-27,2017,De Telegraaf,NEG,-0.9074650579329746
199,Bord vol poeder,2020-07-25,2020,de Volkskrant,POS,0.37016046255554064
200,Bouterse zadelde Suriname op met miljardenschuld,2020-08-05,2020,de Volkskrant,NEG,-0.6767217447240634
201,Brabander laat 'tof' China dansen op technomuziek,2017-10-21,2017,AD/Algemeen Dagblad,NEU,0.04265221747525778
202,Brit vluchtende supercrimineel,2020-07-03,2020,De Telegraaf,NEG,-0.9679137421861617
203,Broer Razzouki op vrije voeten; Verdachte in zaak Marengo,2020-05-28,2020,De Telegraaf,NEG,-0.7340094873415717
204,Bubbeltjes,2017-10-05,2017,de Volkskrant,POS,0.33975695292723734
205,Buiten hekken jointjes roken,2017-10-14,2017,De Telegraaf,NEG,-0.8517630375788274
206,Buitenbeentje schrijft schitterend over haar kindertijd,2020-06-13,2020,de Volkskrant,NEG,-0.9304049167442471
207,Burenruzie,2020-07-15,2020,De Telegraaf,NEG,-0.7090801434363135
208,Bus vol lachgas ontploft; Brokken vlogen 40 meter ver,2020-06-15,2020,De Telegraaf,POS,0.27898093892391645
209,Café blijft langer dicht,2017-09-12,2017,De Telegraaf,NEG,-0.9904540772562479
210,Camera tegen drugsoverlast,2017-09-21,2017,De Telegraaf,NEG,-0.6865330695758001
211,Camperen voor de buis,2020-05-30,2020,AD/Algemeen Dagblad,NEU,0.12365510246069733
212,Camping Wildzicht,2017-10-10,2017,de Volkskrant,NEG,-0.5661546399712271
213,Canada zet uitlevering Huawei-topvrouw door ondanks woede China,2020-05-29,2020,de Volkskrant,NEG,-0.37578965049844903
214,Cannabisprijs VS keldert door legalisering,2017-08-31,2017,de Volkskrant,NEG,-0.9820336389100992
215,Cel in voor bewaren van drugsgeld voor douanier,2020-06-26,2020,AD/Algemeen Dagblad,NEG,-0.7554259063745072
216,Celstraf voor agent meppende deelnemer van trouwstoet,2020-07-10,2020,De Telegraaf,NEG,-0.7778251342469018
217,"Chaos is compleet; Bouterse wil hertelling, oppositie schreeuwt fraude",2020-05-29,2020,De Telegraaf,NEG,-0.9656824914363654
218,Charlie Watts (76),2017-09-30,2017,AD/Algemeen Dagblad,NEU,-0.13651951340928808
219,"Cijfers dalen, maar is er écht minder misdaad?",2017-10-09,2017,AD/Algemeen Dagblad,POS,0.7989564099600307
220,Cocaïne in dozen is 10 miljoen waard,2017-09-26,2017,AD/Algemeen Dagblad,NEG,-0.6915522492170714
221,Cocaïne tussen de cacaobonen,2020-07-30,2020,AD/Algemeen Dagblad,NEG,-0.7940014362916288
222,Cokebananen in de schappen,2017-09-23,2017,AD/Algemeen Dagblad,NEG,-0.6938357144331907
223,Cokebaron alsnog achter de tralies; In 2016 ontsnapte Cetin G. gepakt in Turkije,2020-07-01,2020,De Telegraaf,NEG,-0.28373367020521983
224,Cold case Anne Frank heropend,2017-09-30,2017,de Volkskrant,NEU,-0.07872380933130085
225,Comeback van de criminele burgerinfiltrant,2020-06-12,2020,de Volkskrant,NEG,-0.7970031555301642
226,Compleet drugslab gevonden in vrachtwagen,2020-05-27,2020,AD/Algemeen Dagblad,NEG,-0.6889206255978761
227,Compleet drugslab in vrachtwagen op A12; Chauffeur aangehouden,2020-05-27,2020,De Telegraaf,NEG,-0.537306290940106
228,"Cool, maar veel te lang",2017-09-21,2017,AD/Algemeen Dagblad,NEG,-0.8961542414798837
229,Corona maakt een eind aan illusies over eigen politieke koers,2020-06-20,2020,de Volkskrant,NEG,-0.8095985779523989
230,Corona maakt roken nog minder stoer,2020-05-29,2020,AD/Algemeen Dagblad,NEG,-0.8443172257788449
231,Coronacrisis treft kwetsbare wijken,2020-06-16,2020,de Volkskrant,NEG,-0.8815040777711958
232,Criminele tweeling gaat niet meer vrijuit,2020-06-25,2020,de Volkskrant,NEU,-0.15116464401283738
233,Criminelen bouwden eigen cellencomplex,2020-07-08,2020,de Volkskrant,NEG,-0.7896053854547357
234,Criminelen infiltreren in lokaal politiek bestuur,2017-10-06,2017,AD/Algemeen Dagblad,NEG,-0.3266117865084229
235,Criminelen wilden met heli kopstuk bevrijden,2017-10-12,2017,AD/Algemeen Dagblad,NEG,-0.7340154313808801
236,Criminelen zijn nauwelijks in portemonnee te raken,2020-06-16,2020,de Volkskrant,NEG,-0.9785129168737863
237,Cruise leeft zich uit als lefgozer,2017-08-31,2017,AD/Algemeen Dagblad,POS,0.360638678730384
238,"Dakloze zat op 12,5 miljoen euro cash",2020-06-09,2020,De Telegraaf,NEG,-0.767287254427456
239,Dalende lijn criminaliteitscijfers zet door,2017-10-09,2017,de Volkskrant,POS,0.6554156494563859
240,Dan Brown kraakt zichzelf: 'ik ben saai',2017-09-30,2017,de Volkskrant,NEG,-0.9654517606598422
241,Danse macabre,2017-09-28,2017,de Volkskrant,NEG,-0.21985380392800277
242,Dansen met zichzelf; Het leven van de bijna kapotte Billy Idol,2020-08-07,2020,De Telegraaf,NEG,-0.5872120230274991
243,Dansjes,2020-08-05,2020,de Volkskrant,NEG,-0.25187372065450886
